MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeek,Median_NrIncidentsLastMonth,Median_NrCrimesLastWeek,Median_NrCrimesLastMonth,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM,NB_INCIDENTS
22-85,0.071,0.143,0.286,0,0.071,0.071,0,0,0.214,0,0,0.143,0.786,0,0.214,0,2.5,0,0,0,0,0,0,0,0,102,2,1,1987,84,201,0.892,0.373,0.627,14
22-86,0.081,0.108,0.068,0.054,0.054,0.122,0.054,0.149,0.108,0.054,0.041,0.108,0.973,0.014,0.014,0,4,0,1,0,0,0,1,0,1,590,2,1,2004,84.5,201,0.842,0.203,0.797,74
22-87,0.081,0.016,0.081,0.081,0.113,0.129,0.097,0.065,0.081,0.113,0.048,0.097,0.952,0.032,0.016,0,3,0,1,0,0,0,1,0,0,318,2,1,1986,130.5,201,0.934,0.233,0.767,62
22-88,0.111,0,0.111,0.074,0.074,0.074,0.185,0.037,0,0.074,0.148,0.111,0.815,0.037,0.148,0,4,0,0,0,0,0,0,0,0,554,2,1,1987,85,153,0.933,0.208,0.792,27
23-12,0,0,0,0.077,0.154,0.077,0.154,0.077,0.154,0.154,0.077,0.077,0.846,0,0.154,0,3,0,0,0,0,0,0,0,0,1,1,1,1950,2736824,201,0,1,0,13
23-13,0,0.667,0,0,0,0.333,0,0,0,0,0,0,0.667,0,0.333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
23-19,0,0.333,0,0,0,0.333,0,0,0.333,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
23-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1986,863,325,1,1,0,0
23-22,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.25,0.5,0.25,0,3.5,0,0,0,0,0,0,0,0,72,2,1,1965.5,492.5,109.5,0.917,1,0,4
23-23,0,0,0.087,0,0.043,0.043,0.217,0.217,0.217,0,0.087,0.087,0.739,0.043,0.217,0,3,0,0,0,1,0,0,0,1,262,2,1,1990,347.5,201,0.794,0.641,0.359,23
23-24,0.067,0,0.133,0.089,0.067,0.133,0.111,0.067,0.111,0.111,0.022,0.089,0.644,0.111,0.244,0,3,0,0,0,0,0,0,0,0,338,2,1,2002,125,201,0.817,0.254,0.746,45
23-25,0,0,0.2,0,0.2,0,0,0.2,0,0,0.2,0.2,0.6,0.2,0.2,0,3,0,0,0,0,0,0,0,0,152,2,1,1989,530.5,170,0.954,0.947,0.053,5
23-26,0.182,0.091,0,0,0,0.091,0,0.182,0.182,0,0.091,0.182,0.818,0,0.182,0,4,0,0,0,0,0,0,0,0,140,2,1,1991,490,189.5,0.986,1,0,11
23-27,0.25,0.125,0.125,0,0,0.125,0.125,0,0,0.125,0.125,0,0.625,0.125,0.25,0,3,0,0,0,0,0,0,0,0,176,1,1,1968,620.5,113.5,0.989,1,0,8
23-28,0,0,0.1,0.1,0.1,0.2,0,0.2,0.1,0.1,0.1,0,0.5,0.2,0.3,0,3,0,0,0,0,0,0,0,0,111,2,1,1977,604,138,0.919,1,0,10
